Combination,Average Deaths
"(34907, 9605, 135084)",59865.333333333336
"(34907, 9605, 175197)",73236.33333333333
"(34907, 9605, 21022)",21844.666666666668
"(34907, 6810, 8120)",16612.333333333332
"(34907, 6810, 24107)",21941.333333333332
"(34907, 6810, 22571)",21429.333333333332
"(34907, 6810, 14271)",18662.666666666668
"(34907, 6810, 9896)",17204.333333333332
"(34907, 6810, 10659)",17458.666666666668
"(34907, 6810, 7452)",16389.666666666668
"(34907, 6810, 6358)",16025.0
"(34907, 6810, 6045)",15920.666666666666
"(34907, 6810, 1600)",14439.0
"(34907, 6810, 3694)",15137.0
"(34907, 6810, 3379)",15032.0
"(34907, 6810, 4673)",15463.333333333334
"(34907, 6810, 5610)",15775.666666666666
"(34907, 6810, 3971)",15229.333333333334
"(34907, 6810, 8463)",16726.666666666668
"(34907, 6810, 6160)",15959.0
"(34907, 6810, 7203)",16306.666666666666
"(34907, 6810, 10341)",17352.666666666668
"(34907, 6810, 10282)",17333.0
"(34907, 6810, 9950)",17222.333333333332
"(34907, 6810, 9425)",17047.333333333332
"(34907, 6810, 6839)",16185.333333333334
"(34907, 6810, 8391)",16702.666666666668
"(34907, 6810, 30306)",24007.666666666668
"(34907, 6810, 135084)",58933.666666666664
"(34907, 6810, 175197)",72304.66666666667
"(34907, 6810, 21022)",20913.0
"(34907, 8120, 24107)",22378.0
"(34907, 8120, 22571)",21866.0
"(34907, 8120, 14271)",19099.333333333332
"(34907, 8120, 9896)",17641.0
"(34907, 8120, 10659)",17895.333333333332
"(34907, 8120, 7452)",16826.333333333332
"(34907, 8120, 6358)",16461.666666666668
"(34907, 8120, 6045)",16357.333333333334
"(34907, 8120, 1600)",14875.666666666666
"(34907, 8120, 3694)",15573.666666666666
"(34907, 8120, 3379)",15468.666666666666
"(34907, 8120, 4673)",15900.0
"(34907, 8120, 5610)",16212.333333333334
"(34907, 8120, 3971)",15666.0
"(34907, 8120, 8463)",17163.333333333332
"(34907, 8120, 6160)",16395.666666666668
"(34907, 8120, 7203)",16743.333333333332
"(34907, 8120, 10341)",17789.333333333332
"(34907, 8120, 10282)",17769.666666666668
"(34907, 8120, 9950)",17659.0
"(34907, 8120, 9425)",17484.0
"(34907, 8120, 6839)",16622.0
"(34907, 8120, 8391)",17139.333333333332
"(34907, 8120, 30306)",24444.333333333332
"(34907, 8120, 135084)",59370.333333333336
"(34907, 8120, 175197)",72741.33333333333
"(34907, 8120, 21022)",21349.666666666668
"(34907, 24107, 22571)",27195.0
"(34907, 24107, 14271)",24428.333333333332
"(34907, 24107, 9896)",22970.0
"(34907, 24107, 10659)",23224.333333333332
"(34907, 24107, 7452)",22155.333333333332
"(34907, 24107, 6358)",21790.666666666668
"(34907, 24107, 6045)",21686.333333333332
"(34907, 24107, 1600)",20204.666666666668
"(34907, 24107, 3694)",20902.666666666668
"(34907, 24107, 3379)",20797.666666666668
"(34907, 24107, 4673)",21229.0
"(34907, 24107, 5610)",21541.333333333332
"(34907, 24107, 3971)",20995.0
"(34907, 24107, 8463)",22492.333333333332
"(34907, 24107, 6160)",21724.666666666668
"(34907, 24107, 7203)",22072.333333333332
"(34907, 24107, 10341)",23118.333333333332
"(34907, 24107, 10282)",23098.666666666668
"(34907, 24107, 9950)",22988.0
"(34907, 24107, 9425)",22813.0
"(34907, 24107, 6839)",21951.0
"(34907, 24107, 8391)",22468.333333333332
"(34907, 24107, 30306)",29773.333333333332
"(34907, 24107, 135084)",64699.333333333336
"(34907, 24107, 175197)",78070.33333333333
"(34907, 24107, 21022)",26678.666666666668
"(34907, 22571, 14271)",23916.333333333332
"(34907, 22571, 9896)",22458.0
"(34907, 22571, 10659)",22712.333333333332
"(34907, 22571, 7452)",21643.333333333332
"(34907, 22571, 6358)",21278.666666666668
"(34907, 22571, 6045)",21174.333333333332
"(34907, 22571, 1600)",19692.666666666668
"(34907, 22571, 3694)",20390.666666666668
"(34907, 22571, 3379)",20285.666666666668
"(34907, 22571, 4673)",20717.0
"(34907, 22571, 5610)",21029.333333333332
"(34907, 22571, 3971)",20483.0
"(34907, 22571, 8463)",21980.333333333332
"(34907, 22571, 6160)",21212.666666666668
"(34907, 22571, 7203)",21560.333333333332
"(34907, 22571, 10341)",22606.333333333332
"(34907, 22571, 10282)",22586.666666666668
"(34907, 22571, 9950)",22476.0
"(34907, 22571, 9425)",22301.0
"(34907, 22571, 6839)",21439.0
"(34907, 22571, 8391)",21956.333333333332
"(34907, 22571, 30306)",29261.333333333332
"(34907, 22571, 135084)",64187.333333333336
"(34907, 22571, 175197)",77558.33333333333
"(34907, 22571, 21022)",26166.666666666668
"(34907, 14271, 9896)",19691.333333333332
"(34907, 14271, 10659)",19945.666666666668
"(34907, 14271, 7452)",18876.666666666668
"(34907, 14271, 6358)",18512.0
"(34907, 14271, 6045)",18407.666666666668
"(34907, 14271, 1600)",16926.0
"(34907, 14271, 3694)",17624.0
"(34907, 14271, 3379)",17519.0
"(34907, 14271, 4673)",17950.333333333332
"(34907, 14271, 5610)",18262.666666666668
"(34907, 14271, 3971)",17716.333333333332
"(34907, 14271, 8463)",19213.666666666668
"(34907, 14271, 6160)",18446.0
"(34907, 14271, 7203)",18793.666666666668
"(34907, 14271, 10341)",19839.666666666668
"(34907, 14271, 10282)",19820.0
"(34907, 14271, 9950)",19709.333333333332
"(34907, 14271, 9425)",19534.333333333332
"(34907, 14271, 6839)",18672.333333333332
"(34907, 14271, 8391)",19189.666666666668
"(34907, 14271, 30306)",26494.666666666668
"(34907, 14271, 135084)",61420.666666666664
"(34907, 14271, 175197)",74791.66666666667
"(34907, 14271, 21022)",23400.0
"(34907, 9896, 10659)",18487.333333333332
"(34907, 9896, 7452)",17418.333333333332
"(34907, 9896, 6358)",17053.666666666668
"(34907, 9896, 6045)",16949.333333333332
"(34907, 9896, 1600)",15467.666666666666
"(34907, 9896, 3694)",16165.666666666666
"(34907, 9896, 3379)",16060.666666666666
"(34907, 9896, 4673)",16492.0
"(34907, 9896, 5610)",16804.333333333332
"(34907, 9896, 3971)",16258.0
"(34907, 9896, 8463)",17755.333333333332
"(34907, 9896, 6160)",16987.666666666668
"(34907, 9896, 7203)",17335.333333333332
"(34907, 9896, 10341)",18381.333333333332
"(34907, 9896, 10282)",18361.666666666668
"(34907, 9896, 9950)",18251.0
"(34907, 9896, 9425)",18076.0
"(34907, 9896, 6839)",17214.0
"(34907, 9896, 8391)",17731.333333333332
"(34907, 9896, 30306)",25036.333333333332
"(34907, 9896, 135084)",59962.333333333336
"(34907, 9896, 175197)",73333.33333333333
"(34907, 9896, 21022)",21941.666666666668
"(34907, 10659, 7452)",17672.666666666668
"(34907, 10659, 6358)",17308.0
"(34907, 10659, 6045)",17203.666666666668
"(34907, 10659, 1600)",15722.0
"(34907, 10659, 3694)",16420.0
"(34907, 10659, 3379)",16315.0
"(34907, 10659, 4673)",16746.333333333332
"(34907, 10659, 5610)",17058.666666666668
"(34907, 10659, 3971)",16512.333333333332
"(34907, 10659, 8463)",18009.666666666668
"(34907, 10659, 6160)",17242.0
"(34907, 10659, 7203)",17589.666666666668
"(34907, 10659, 10341)",18635.666666666668
"(34907, 10659, 10282)",18616.0
"(34907, 10659, 9950)",18505.333333333332
"(34907, 10659, 9425)",18330.333333333332
"(34907, 10659, 6839)",17468.333333333332
"(34907, 10659, 8391)",17985.666666666668
"(34907, 10659, 30306)",25290.666666666668
"(34907, 10659, 135084)",60216.666666666664
"(34907, 10659, 175197)",73587.66666666667
"(34907, 10659, 21022)",22196.0
"(34907, 7452, 6358)",16239.0
"(34907, 7452, 6045)",16134.666666666666
"(34907, 7452, 1600)",14653.0
"(34907, 7452, 3694)",15351.0
"(34907, 7452, 3379)",15246.0
"(34907, 7452, 4673)",15677.333333333334
"(34907, 7452, 5610)",15989.666666666666
"(34907, 7452, 3971)",15443.333333333334
"(34907, 7452, 8463)",16940.666666666668
"(34907, 7452, 6160)",16173.0
"(34907, 7452, 7203)",16520.666666666668
"(34907, 7452, 10341)",17566.666666666668
"(34907, 7452, 10282)",17547.0
"(34907, 7452, 9950)",17436.333333333332
"(34907, 7452, 9425)",17261.333333333332
"(34907, 7452, 6839)",16399.333333333332
"(34907, 7452, 8391)",16916.666666666668
"(34907, 7452, 30306)",24221.666666666668
"(34907, 7452, 135084)",59147.666666666664
"(34907, 7452, 175197)",72518.66666666667
"(34907, 7452, 21022)",21127.0
"(34907, 6358, 6045)",15770.0
"(34907, 6358, 1600)",14288.333333333334
"(34907, 6358, 3694)",14986.333333333334
"(34907, 6358, 3379)",14881.333333333334
"(34907, 6358, 4673)",15312.666666666666
"(34907, 6358, 5610)",15625.0
"(34907, 6358, 3971)",15078.666666666666
"(34907, 6358, 8463)",16576.0
"(34907, 6358, 6160)",15808.333333333334
"(34907, 6358, 7203)",16156.0
"(34907, 6358, 10341)",17202.0
"(34907, 6358, 10282)",17182.333333333332
"(34907, 6358, 9950)",17071.666666666668
"(34907, 6358, 9425)",16896.666666666668
"(34907, 6358, 6839)",16034.666666666666
"(34907, 6358, 8391)",16552.0
"(34907, 6358, 30306)",23857.0
"(34907, 6358, 135084)",58783.0
"(34907, 6358, 175197)",72154.0
"(34907, 6358, 21022)",20762.333333333332
"(34907, 6045, 1600)",14184.0
"(34907, 6045, 3694)",14882.0
"(34907, 6045, 3379)",14777.0
"(34907, 6045, 4673)",15208.333333333334
"(34907, 6045, 5610)",15520.666666666666
"(34907, 6045, 3971)",14974.333333333334
"(34907, 6045, 8463)",16471.666666666668
"(34907, 6045, 6160)",15704.0
"(34907, 6045, 7203)",16051.666666666666
"(34907, 6045, 10341)",17097.666666666668
"(34907, 6045, 10282)",17078.0
"(34907, 6045, 9950)",16967.333333333332
"(34907, 6045, 9425)",16792.333333333332
"(34907, 6045, 6839)",15930.333333333334
"(34907, 6045, 8391)",16447.666666666668
"(34907, 6045, 30306)",23752.666666666668
"(34907, 6045, 135084)",58678.666666666664
"(34907, 6045, 175197)",72049.66666666667
"(34907, 6045, 21022)",20658.0
"(34907, 1600, 3694)",13400.333333333334
"(34907, 1600, 3379)",13295.333333333334
"(34907, 1600, 4673)",13726.666666666666
"(34907, 1600, 5610)",14039.0
"(34907, 1600, 3971)",13492.666666666666
"(34907, 1600, 8463)",14990.0
"(34907, 1600, 6160)",14222.333333333334
"(34907, 1600, 7203)",14570.0
"(34907, 1600, 10341)",15616.0
"(34907, 1600, 10282)",15596.333333333334
"(34907, 1600, 9950)",15485.666666666666
"(34907, 1600, 9425)",15310.666666666666
"(34907, 1600, 6839)",14448.666666666666
"(34907, 1600, 8391)",14966.0
"(34907, 1600, 30306)",22271.0
"(34907, 1600, 135084)",57197.0
"(34907, 1600, 175197)",70568.0
"(34907, 1600, 21022)",19176.333333333332
"(34907, 3694, 3379)",13993.333333333334
"(34907, 3694, 4673)",14424.666666666666
"(34907, 3694, 5610)",14737.0
"(34907, 3694, 3971)",14190.666666666666
"(34907, 3694, 8463)",15688.0
"(34907, 3694, 6160)",14920.333333333334
"(34907, 3694, 7203)",15268.0
"(34907, 3694, 10341)",16314.0
"(34907, 3694, 10282)",16294.333333333334
"(34907, 3694, 9950)",16183.666666666666
"(34907, 3694, 9425)",16008.666666666666
"(34907, 3694, 6839)",15146.666666666666
"(34907, 3694, 8391)",15664.0
"(34907, 3694, 30306)",22969.0
"(34907, 3694, 135084)",57895.0
"(34907, 3694, 175197)",71266.0
"(34907, 3694, 21022)",19874.333333333332
"(34907, 3379, 4673)",14319.666666666666
"(34907, 3379, 5610)",14632.0
"(34907, 3379, 3971)",14085.666666666666
"(34907, 3379, 8463)",15583.0
"(34907, 3379, 6160)",14815.333333333334
"(34907, 3379, 7203)",15163.0
"(34907, 3379, 10341)",16209.0
"(34907, 3379, 10282)",16189.333333333334
"(34907, 3379, 9950)",16078.666666666666
"(34907, 3379, 9425)",15903.666666666666
"(34907, 3379, 6839)",15041.666666666666
"(34907, 3379, 8391)",15559.0
"(34907, 3379, 30306)",22864.0
"(34907, 3379, 135084)",57790.0
"(34907, 3379, 175197)",71161.0
"(34907, 3379, 21022)",19769.333333333332
"(34907, 4673, 5610)",15063.333333333334
"(34907, 4673, 3971)",14517.0
"(34907, 4673, 8463)",16014.333333333334
"(34907, 4673, 6160)",15246.666666666666
"(34907, 4673, 7203)",15594.333333333334
"(34907, 4673, 10341)",16640.333333333332
"(34907, 4673, 10282)",16620.666666666668
"(34907, 4673, 9950)",16510.0
"(34907, 4673, 9425)",16335.0
"(34907, 4673, 6839)",15473.0
"(34907, 4673, 8391)",15990.333333333334
"(34907, 4673, 30306)",23295.333333333332
"(34907, 4673, 135084)",58221.333333333336
"(34907, 4673, 175197)",71592.33333333333
"(34907, 4673, 21022)",20200.666666666668
"(34907, 5610, 3971)",14829.333333333334
"(34907, 5610, 8463)",16326.666666666666
"(34907, 5610, 6160)",15559.0
"(34907, 5610, 7203)",15906.666666666666
"(34907, 5610, 10341)",16952.666666666668
"(34907, 5610, 10282)",16933.0
"(34907, 5610, 9950)",16822.333333333332
"(34907, 5610, 9425)",16647.333333333332
"(34907, 5610, 6839)",15785.333333333334
"(34907, 5610, 8391)",16302.666666666666
"(34907, 5610, 30306)",23607.666666666668
"(34907, 5610, 135084)",58533.666666666664
"(34907, 5610, 175197)",71904.66666666667
"(34907, 5610, 21022)",20513.0
"(34907, 3971, 8463)",15780.333333333334
"(34907, 3971, 6160)",15012.666666666666
"(34907, 3971, 7203)",15360.333333333334
"(34907, 3971, 10341)",16406.333333333332
"(34907, 3971, 10282)",16386.666666666668
"(34907, 3971, 9950)",16276.0
"(34907, 3971, 9425)",16101.0
"(34907, 3971, 6839)",15239.0
"(34907, 3971, 8391)",15756.333333333334
"(34907, 3971, 30306)",23061.333333333332
"(34907, 3971, 135084)",57987.333333333336
"(34907, 3971, 175197)",71358.33333333333
"(34907, 3971, 21022)",19966.666666666668
"(34907, 8463, 6160)",16510.0
"(34907, 8463, 7203)",16857.666666666668
"(34907, 8463, 10341)",17903.666666666668
"(34907, 8463, 10282)",17884.0
"(34907, 8463, 9950)",17773.333333333332
"(34907, 8463, 9425)",17598.333333333332
"(34907, 8463, 6839)",16736.333333333332
"(34907, 8463, 8391)",17253.666666666668
"(34907, 8463, 30306)",24558.666666666668
"(34907, 8463, 135084)",59484.666666666664
"(34907, 8463, 175197)",72855.66666666667
"(34907, 8463, 21022)",21464.0
"(34907, 6160, 7203)",16090.0
"(34907, 6160, 10341)",17136.0
"(34907, 6160, 10282)",17116.333333333332
"(34907, 6160, 9950)",17005.666666666668
"(34907, 6160, 9425)",16830.666666666668
"(34907, 6160, 6839)",15968.666666666666
"(34907, 6160, 8391)",16486.0
"(34907, 6160, 30306)",23791.0
"(34907, 6160, 135084)",58717.0
"(34907, 6160, 175197)",72088.0
"(34907, 6160, 21022)",20696.333333333332
"(34907, 7203, 10341)",17483.666666666668
"(34907, 7203, 10282)",17464.0
"(34907, 7203, 9950)",17353.333333333332
"(34907, 7203, 9425)",17178.333333333332
"(34907, 7203, 6839)",16316.333333333334
"(34907, 7203, 8391)",16833.666666666668
"(34907, 7203, 30306)",24138.666666666668
"(34907, 7203, 135084)",59064.666666666664
"(34907, 7203, 175197)",72435.66666666667
"(34907, 7203, 21022)",21044.0
"(34907, 10341, 10282)",18510.0
"(34907, 10341, 9950)",18399.333333333332
"(34907, 10341, 9425)",18224.333333333332
"(34907, 10341, 6839)",17362.333333333332
"(34907, 10341, 8391)",17879.666666666668
"(34907, 10341, 30306)",25184.666666666668
"(34907, 10341, 135084)",60110.666666666664
"(34907, 10341, 175197)",73481.66666666667
"(34907, 10341, 21022)",22090.0
"(34907, 10282, 9950)",18379.666666666668
"(34907, 10282, 9425)",18204.666666666668
"(34907, 10282, 6839)",17342.666666666668
"(34907, 10282, 8391)",17860.0
"(34907, 10282, 30306)",25165.0
"(34907, 10282, 135084)",60091.0
"(34907, 10282, 175197)",73462.0
"(34907, 10282, 21022)",22070.333333333332
"(34907, 9950, 9425)",18094.0
"(34907, 9950, 6839)",17232.0
"(34907, 9950, 8391)",17749.333333333332
"(34907, 9950, 30306)",25054.333333333332
"(34907, 9950, 135084)",59980.333333333336
"(34907, 9950, 175197)",73351.33333333333
"(34907, 9950, 21022)",21959.666666666668
"(34907, 9425, 6839)",17057.0
"(34907, 9425, 8391)",17574.333333333332
"(34907, 9425, 30306)",24879.333333333332
"(34907, 9425, 135084)",59805.333333333336
"(34907, 9425, 175197)",73176.33333333333
"(34907, 9425, 21022)",21784.666666666668
"(34907, 6839, 8391)",16712.333333333332
"(34907, 6839, 30306)",24017.333333333332
"(34907, 6839, 135084)",58943.333333333336
"(34907, 6839, 175197)",72314.33333333333
"(34907, 6839, 21022)",20922.666666666668
"(34907, 8391, 30306)",24534.666666666668
"(34907, 8391, 135084)",59460.666666666664
"(34907, 8391, 175197)",72831.66666666667
"(34907, 8391, 21022)",21440.0
"(34907, 30306, 135084)",66765.66666666667
"(34907, 30306, 175197)",80136.66666666667
"(34907, 30306, 21022)",28745.0
"(34907, 135084, 175197)",115062.66666666667
"(34907, 135084, 21022)",63671.0
"(34907, 175197, 21022)",77042.0
"(64839, 25480, 6887)",32402.0
"(64839, 25480, 15064)",35127.666666666664
"(64839, 25480, 9605)",33308.0
"(64839, 25480, 6810)",32376.333333333332
"(64839, 25480, 8120)",32813.0
"(64839, 25480, 24107)",38142.0
"(64839, 25480, 22571)",37630.0
"(64839, 25480, 14271)",34863.333333333336
"(64839, 25480, 9896)",33405.0
"(64839, 25480, 10659)",33659.333333333336
"(64839, 25480, 7452)",32590.333333333332
"(64839, 25480, 6358)",32225.666666666668
"(64839, 25480, 6045)",32121.333333333332
"(64839, 25480, 1600)",30639.666666666668
"(64839, 25480, 3694)",31337.666666666668
"(64839, 25480, 3379)",31232.666666666668
"(64839, 25480, 4673)",31664.0
"(64839, 25480, 5610)",31976.333333333332
"(64839, 25480, 3971)",31430.0
"(64839, 25480, 8463)",32927.333333333336
"(64839, 25480, 6160)",32159.666666666668
"(64839, 25480, 7203)",32507.333333333332
"(64839, 25480, 10341)",33553.333333333336
"(64839, 25480, 10282)",33533.666666666664
"(64839, 25480, 9950)",33423.0
"(64839, 25480, 9425)",33248.0
"(64839, 25480, 6839)",32386.0
"(64839, 25480, 8391)",32903.333333333336
"(64839, 25480, 30306)",40208.333333333336
"(64839, 25480, 135084)",75134.33333333333
"(64839, 25480, 175197)",88505.33333333333
"(64839, 25480, 21022)",37113.666666666664
"(64839, 6887, 15064)",28930.0
"(64839, 6887, 9605)",27110.333333333332
"(64839, 6887, 6810)",26178.666666666668
"(64839, 6887, 8120)",26615.333333333332
"(64839, 6887, 24107)",31944.333333333332
"(64839, 6887, 22571)",31432.333333333332
"(64839, 6887, 14271)",28665.666666666668
"(64839, 6887, 9896)",27207.333333333332
"(64839, 6887, 10659)",27461.666666666668
"(64839, 6887, 7452)",26392.666666666668
"(64839, 6887, 6358)",26028.0
"(64839, 6887, 6045)",25923.666666666668
"(64839, 6887, 1600)",24442.0
"(64839, 6887, 3694)",25140.0
"(64839, 6887, 3379)",25035.0
"(64839, 6887, 4673)",25466.333333333332
"(64839, 6887, 5610)",25778.666666666668
"(64839, 6887, 3971)",25232.333333333332
"(64839, 6887, 8463)",26729.666666666668
